c_file_name,category,error_type,llm_name,num_parameters,num_lines,cyclomatic_complexity
62818.c,VULNERABLE,dereference failure: invalid pointer,falcon,180.0,77,8.0
19015.c,VULNERABLE,buffer overflow on scanf,gemma,7.0,59,2.5
58.c,UNKNOWN (time out),,gpt35,,93,4.75
465.c,VULNERABLE,dereference failure: NULL pointer,llama2,13.0,61,1.5
7114.c,VULNERABLE,dereference failure: invalid pointer,gpt4o_mini,,86,9.0
25999.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,69,2.2
15550.c,VULNERABLE,dereference failure: invalid pointer,gpt35,,58,3.5
1535.c,VULNERABLE,dereference failure: NULL pointer,gpt4o_mini,,116,5.333
14263.c,VULNERABLE,buffer overflow on scanf,falcon,180.0,66,2.5
1224.c,VULNERABLE,buffer overflow on scanf,gpt4o_mini,,151,3.571
30779.c,VULNERABLE,dereference failure: forgotten memory,gemini_pro,,97,13.0
8856.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,94,2.167
8740.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,130,2.0
7926.c,VULNERABLE,buffer overflow on scanf,mistral,7.0,79,4.667
6058.c,NON-VULNERABLE,,gemini_pro,,88,1.6
10979.c,VULNERABLE,dereference failure: NULL pointer,llama2,13.0,90,3.0
33765.c,VULNERABLE,buffer overflow on scanf,gpt4o_mini,,102,3.0
20564.c,VULNERABLE,dereference failure: invalid pointer,gpt35,,369,8.143
5327.c,VULNERABLE,dereference failure: forgotten memory,gpt35,,73,3.0
42349.c,VULNERABLE,dereference failure: forgotten memory,gemma,7.0,53,3.5
26045.c,VULNERABLE,buffer overflow on scanf,gemma,7.0,54,5.0
11670.c,UNKNOWN (time out),,gemma,7.0,62,6.5
46030.c,NON-VULNERABLE,,falcon,180.0,52,1.75
18030.c,VULNERABLE,dereference failure: array bounds violated,gemini_pro,,92,3.333
11746.c,VULNERABLE,array bounds violated: lower bound,llama2,13.0,85,12.0
28187.c,NON-VULNERABLE,,gemma,7.0,52,2.667
27067.c,VULNERABLE,dereference failure: array bounds violated,gemini_pro,,125,2.0
19601.c,VULNERABLE,buffer overflow on scanf,gpt4o_mini,,101,2.8
3182.c,VULNERABLE,arithmetic overflow on mul,gemma,7.0,52,5.0
18858.c,VULNERABLE,dereference failure: array bounds violated,llama2,13.0,88,5.0
12815.c,VULNERABLE,buffer overflow on scanf,gpt4o_mini,,105,2.125
42400.c,VULNERABLE,dereference failure: NULL pointer,falcon,180.0,90,1.833
38304.c,VULNERABLE,dereference failure: invalid pointer,falcon,180.0,53,6.0
41644.c,VULNERABLE,array bounds violated: lower bound,gemma,7.0,66,5.0
15379.c,VULNERABLE,dereference failure: NULL pointer,gpt35,,108,7.5
1915.c,VULNERABLE,buffer overflow on scanf,gpt4o_mini,,93,2.2
11974.c,VULNERABLE,dereference failure: NULL pointer,gpt4o_mini,,70,3.5
1662.c,VULNERABLE,the pointer to a file object must be a valid argument,gpt35,,59,4.0
68463.c,VULNERABLE,array bounds violated: upper bound,gpt35,,197,2.857
31871.c,VULNERABLE,dereference failure: NULL pointer,gpt35,,82,2.333
61584.c,VULNERABLE,buffer overflow on scanf,gpt35,,70,6.0
30920.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,60,1.2
36204.c,NON-VULNERABLE,,gemma,7.0,55,1.25
3839.c,VULNERABLE,buffer overflow on scanf,gpt4o_mini,,76,2.8
6388.c,VULNERABLE,buffer overflow on sscanf,falcon2,11.0,69,8.0
8688.c,VULNERABLE,buffer overflow on scanf,falcon2,11.0,57,2.667
22783.c,VULNERABLE,buffer overflow on scanf,falcon,180.0,84,1.667
2658.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,123,2.167
32630.c,UNKNOWN (time out),,gemini_pro,,98,4.667
36440.c,VULNERABLE,dereference failure: NULL pointer,falcon,180.0,68,3.0
12678.c,VULNERABLE,array bounds violated: upper bound,gemma,7.0,100,15.0
17578.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,66,2.333
3074.c,VULNERABLE,dereference failure: NULL pointer,mistral,7.0,99,1.75
19275.c,VULNERABLE,dereference failure: invalid pointer,llama2,13.0,73,2.0
16021.c,VULNERABLE,array bounds violated: upper bound,gemini_pro,,105,15.0
34875.c,VULNERABLE,dereference failure: invalid pointer,gemini_pro,,117,6.0
350.c,VULNERABLE,dereference failure: forgotten memory,llama2,13.0,52,1.25
38132.c,VULNERABLE,dereference failure: NULL pointer,gpt4o_mini,,122,3.0
9192.c,VULNERABLE,dereference failure: NULL pointer,gpt35,,212,7.6
13934.c,UNKNOWN (time out),,gpt35,,67,3.0
23127.c,NON-VULNERABLE,,gemini_pro,,64,7.0
9802.c,VULNERABLE,dereference failure: NULL pointer,gemma,7.0,59,1.75
12310.c,VULNERABLE,buffer overflow on scanf,falcon,180.0,78,2.6
27915.c,VULNERABLE,dereference failure: NULL pointer,gemma,7.0,54,2.333
53642.c,VULNERABLE,buffer overflow on scanf,gpt35,,71,10.0
20169.c,VULNERABLE,buffer overflow on scanf,gemma,7.0,51,2.5
52878.c,VULNERABLE,buffer overflow on scanf,gpt35,,355,13.0
70282.c,VULNERABLE,dereference failure: NULL pointer,gpt35,,120,2.143
29415.c,VULNERABLE,VLA array size in bytes overflows address space size,gpt35,,153,4.5
26123.c,VULNERABLE,dereference failure: NULL pointer,gpt35,,94,2.4
41251.c,VULNERABLE,dereference failure: NULL pointer,gpt35,,63,5.0
26539.c,VULNERABLE,dereference failure: NULL pointer,falcon,180.0,72,2.2
25082.c,VULNERABLE,array bounds violated: lower bound,gpt35,,59,3.0
14758.c,VULNERABLE,buffer overflow on scanf,gemma,7.0,78,10.0
56511.c,VULNERABLE,arithmetic overflow on mul,gpt35,,58,7.0
29680.c,VULNERABLE,dereference failure: NULL pointer,gemma,7.0,66,1.667
19519.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,81,2.0
27095.c,VULNERABLE,dereference failure: NULL pointer,falcon,180.0,80,2.0
39844.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,155,5.4
15255.c,PARSING ERROR,,llama2,13.0,87,3.167
18562.c,VULNERABLE,buffer overflow on scanf,gemini_pro,,163,4.0
1455.c,VULNERABLE,dereference failure: NULL pointer,gpt4o_mini,,164,3.0
73451.c,VULNERABLE,dereference failure: NULL pointer,gpt35,,96,15.0
40030.c,VULNERABLE,dereference failure: NULL pointer,gemma,7.0,111,1.0
20027.c,VULNERABLE,buffer overflow on scanf,gpt35,,208,4.333
5582.c,VULNERABLE,arithmetic overflow on sub,gemma,7.0,57,3.0
41292.c,VULNERABLE,dereference failure: NULL pointer,falcon,180.0,68,2.0
42955.c,VULNERABLE,arithmetic overflow on floating-point ieee_mul,gemma,7.0,93,21.0
30385.c,UNKNOWN (time out),,gemma,7.0,119,4.333
472.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,118,7.25
42554.c,UNKNOWN (time out),,gemma,7.0,71,4.0
38071.c,VULNERABLE,dereference failure: NULL pointer,falcon,180.0,107,3.0
31056.c,VULNERABLE,dereference failure: NULL pointer,gemma,7.0,57,1.5
46247.c,VULNERABLE,dereference failure: NULL pointer,gemma,7.0,105,3.8
13189.c,UNKNOWN (time out),,gpt4o_mini,,77,3.667
2890.c,VULNERABLE,buffer overflow on scanf,mistral,7.0,105,3.6
26324.c,VULNERABLE,buffer overflow on scanf,falcon,180.0,63,4.0
19348.c,VULNERABLE,dereference failure: NULL pointer,falcon,180.0,87,1.625
29093.c,VULNERABLE,buffer overflow on scanf,gpt4o_mini,,85,2.667
4614.c,VULNERABLE,arithmetic overflow on mul,codellama,13.0,78,2.5
24344.c,UNKNOWN (time out),,gpt35,,343,10.889
14311.c,VULNERABLE,dereference failure: array bounds violated,llama2,13.0,62,5.0
29132.c,VULNERABLE,dereference failure: NULL pointer,gemma,7.0,59,2.667
18577.c,VULNERABLE,dereference failure: NULL pointer,llama2,13.0,96,3.333
6423.c,VULNERABLE,dereference failure: invalid pointer,gpt35,,155,8.667
67448.c,VULNERABLE,buffer overflow on scanf,gpt35,,196,3.667
32460.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,93,1.25
39862.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,128,4.333
42849.c,VULNERABLE,dereference failure: array bounds violated,falcon,180.0,61,2.75
10596.c,VULNERABLE,buffer overflow on scanf,falcon2,11.0,52,4.0
3039.c,VULNERABLE,dereference failure: array bounds violated,llama2,13.0,82,2.25
14644.c,UNKNOWN (time out),,gemini_pro,,93,11.0
30772.c,VULNERABLE,buffer overflow on scanf,falcon,180.0,73,8.0
39267.c,VULNERABLE,buffer overflow on scanf,gpt4o_mini,,93,2.8
39360.c,PARSING ERROR,,gemini_pro,,89,3.0
66739.c,VULNERABLE,dereference failure: invalid pointer,gpt35,,122,6.667
72369.c,VULNERABLE,buffer overflow on scanf,gpt35,,87,3.0
2167.c,VULNERABLE,dereference failure: invalid pointer,gpt4o_mini,,196,6.667
6261.c,VULNERABLE,dereference failure: invalid pointer,gpt4o_mini,,75,3.667
59328.c,VULNERABLE,dereference failure: NULL pointer,gpt35,,333,6.4
31961.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,237,2.4
18340.c,VULNERABLE,dereference failure: invalid pointer,gemini_pro,,81,10.0
15955.c,VULNERABLE,dereference failure: invalid pointer,gemini_pro,,124,4.667
9686.c,VULNERABLE,dereference failure: invalid pointer,gpt35,,69,8.0
61056.c,UNKNOWN (time out),,falcon,180.0,66,2.25
26104.c,VULNERABLE,buffer overflow on scanf,gemma,7.0,81,10.0
19000.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,91,2.8
24683.c,VULNERABLE,division by zero,falcon,180.0,54,3.5
10385.c,VULNERABLE,dereference failure: NULL pointer,gemma,7.0,51,7.0
2724.c,VULNERABLE,dereference failure: NULL pointer,gpt35,,175,21.0
44911.c,VULNERABLE,buffer overflow on scanf,falcon,180.0,66,2.333
12133.c,VULNERABLE,dereference failure: array bounds violated,gemma,7.0,57,6.5
39937.c,VULNERABLE,arithmetic overflow on sub,gemini_pro,,63,1.8
11018.c,UNKNOWN (time out),,gpt4o_mini,,75,2.2
38641.c,VULNERABLE,dereference failure: array bounds violated,gpt35,,146,3.375
10185.c,VULNERABLE,dereference failure: invalid pointer,falcon2,11.0,96,14.0
3662.c,VULNERABLE,buffer overflow on scanf,mistral,7.0,90,2.167
6531.c,VULNERABLE,dereference failure: array bounds violated,llama2,13.0,64,2.75
42146.c,VULNERABLE,buffer overflow on scanf,gpt35,,199,23.0
31448.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,153,6.5
19882.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,78,1.286
40254.c,VULNERABLE,dereference failure: NULL pointer,falcon,180.0,95,3.25
75458.c,VULNERABLE,dereference failure: forgotten memory,gpt35,,95,1.5
50945.c,VULNERABLE,buffer overflow on scanf,gpt35,,74,1.0
50882.c,VULNERABLE,buffer overflow on scanf,gpt35,,92,2.25
10.c,VULNERABLE,arithmetic overflow on mul,gemini_pro,,71,2.25
21528.c,VULNERABLE,arithmetic overflow on add,gpt35,,51,2.0
23728.c,VULNERABLE,dereference failure: NULL pointer,gemma,7.0,51,3.5
12901.c,VULNERABLE,dereference failure: invalid pointer,gpt35,,85,5.0
29805.c,VULNERABLE,array bounds violated: lower bound,gpt35,,59,17.0
28327.c,VULNERABLE,dereference failure: NULL pointer,gemma,7.0,67,2.0
6497.c,VULNERABLE,buffer overflow on scanf,gemini_pro,,85,1.333
1908.c,UNKNOWN (time out),,falcon,180.0,73,4.5
17551.c,VULNERABLE,dereference failure: NULL pointer,llama2,13.0,76,2.0
37236.c,VULNERABLE,buffer overflow on scanf,gemini_pro,,57,3.0
13295.c,VULNERABLE,dereference failure: invalid pointer,gpt4o_mini,,84,3.0
60621.c,VULNERABLE,buffer overflow on scanf,gpt35,,78,7.0
34001.c,VULNERABLE,array bounds violated: upper bound,gpt35,,104,26.0
24713.c,VULNERABLE,array bounds violated: upper bound,gpt35,,145,10.25
24306.c,VULNERABLE,arithmetic overflow on sub,gpt35,,92,11.0
71269.c,VULNERABLE,dereference failure: NULL pointer,gpt35,,143,2.071
345.c,VULNERABLE,dereference failure: accessed expired variable pointer,falcon,180.0,73,2.333
70597.c,VULNERABLE,buffer overflow on scanf,falcon,180.0,63,1.5
10243.c,VULNERABLE,array bounds violated: upper bound,gemma,7.0,97,13.0
23353.c,VULNERABLE,dereference failure: NULL pointer,falcon,180.0,90,2.0
6548.c,VULNERABLE,dereference failure: forgotten memory,llama2,13.0,66,1.4
37919.c,VULNERABLE,dereference failure: NULL pointer,gpt4o_mini,,162,3.429
62327.c,VULNERABLE,buffer overflow on scanf,falcon,180.0,60,2.667
3587.c,UNKNOWN (time out),,gpt4o_mini,,86,2.8
1033.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,55,1.5
9764.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,106,3.0
32137.c,VULNERABLE,buffer overflow on scanf,gpt4o_mini,,77,2.0
9792.c,VULNERABLE,buffer overflow on scanf,falcon2,11.0,90,2.0
7310.c,VULNERABLE,buffer overflow on scanf,gpt4o_mini,,137,3.333
71065.c,VULNERABLE,buffer overflow on scanf,gpt35,,119,3.8
10638.c,UNKNOWN (time out),,falcon2,11.0,117,5.0
27892.c,VULNERABLE,dereference failure: NULL pointer,falcon,180.0,59,3.0
3076.c,VULNERABLE,dereference failure: NULL pointer,codellama,13.0,113,2.333
769.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,75,2.25
65047.c,UNKNOWN (time out),,falcon,180.0,73,3.5
10379.c,VULNERABLE,array bounds violated: lower bound,gpt35,,82,13.0
1732.c,VULNERABLE,buffer overflow on scanf,falcon,180.0,109,6.0
45037.c,VULNERABLE,buffer overflow on scanf,gpt35,,145,13.0
76072.c,VULNERABLE,dereference failure: NULL pointer,gpt35,,100,4.2
38598.c,VULNERABLE,buffer overflow on scanf,gpt4o_mini,,133,3.0
26562.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,154,2.5
6683.c,VULNERABLE,dereference failure: invalid pointer,falcon2,11.0,61,7.0
17820.c,VULNERABLE,array bounds violated: upper bound,llama2,13.0,107,3.25
25086.c,VULNERABLE,buffer overflow on scanf,falcon,180.0,84,2.4
9674.c,VULNERABLE,dereference failure: NULL pointer,falcon2,11.0,60,8.0
2412.c,UNKNOWN (time out),,falcon,180.0,72,1.6
2487.c,VULNERABLE,buffer overflow on scanf,gpt4o_mini,,124,2.2
11051.c,VULNERABLE,dereference failure: NULL pointer,falcon2,11.0,76,7.0
2515.c,VULNERABLE,dereference failure: NULL pointer,falcon2,11.0,79,2.333
18341.c,UNKNOWN (time out),,gpt35,,72,4.0
4957.c,VULNERABLE,buffer overflow on scanf,gpt35,,139,3.0
26390.c,VULNERABLE,dereference failure: NULL pointer,gemma,7.0,60,3.0
1451.c,VULNERABLE,buffer overflow on fscanf,gemini_pro,,60,7.0
27749.c,VULNERABLE,buffer overflow on scanf,falcon,180.0,54,5.0
10460.c,UNKNOWN (time out),,gemini_pro,,81,2.5
5489.c,VULNERABLE,dereference failure: NULL pointer,codellama,13.0,100,2.6
15095.c,VULNERABLE,dereference failure: invalid pointer,gpt35,,161,10.0
42040.c,VULNERABLE,dereference failure: NULL pointer,falcon,180.0,83,3.75
41281.c,VULNERABLE,dereference failure: array bounds violated,falcon,180.0,85,3.75
50785.c,VULNERABLE,dereference failure: invalid pointer,gpt35,,91,3.5
48395.c,VULNERABLE,buffer overflow on scanf,gpt35,,62,8.0
10414.c,VULNERABLE,dereference failure: NULL pointer,gpt4o_mini,,75,5.333
129.c,VULNERABLE,dereference failure: NULL pointer,codellama,13.0,51,1.25
57342.c,UNKNOWN (time out),,falcon,180.0,62,3.25
222.c,NON-VULNERABLE,,gemini_pro,,85,8.0
30947.c,UNKNOWN (time out),,falcon,180.0,67,4.0
73442.c,VULNERABLE,buffer overflow on scanf,gpt35,,114,5.0
11640.c,VULNERABLE,dereference failure: NULL pointer,falcon2,11.0,55,2.333
12359.c,VULNERABLE,buffer overflow on scanf,gpt4o_mini,,165,5.5
9722.c,VULNERABLE,buffer overflow on scanf,falcon,180.0,59,2.0
67291.c,VULNERABLE,division by zero,falcon,180.0,78,3.167
15529.c,UNKNOWN (time out),,gemini_pro,,74,2.2
11239.c,VULNERABLE,dereference failure: invalid pointer,falcon,180.0,80,9.0
39307.c,VULNERABLE,buffer overflow on scanf,gpt35,,129,3.667
11231.c,VULNERABLE,dereference failure: NULL pointer,gpt35,,173,3.9
25933.c,VULNERABLE,dereference failure: NULL pointer,gemma,7.0,54,2.0
18035.c,VULNERABLE,dereference failure: NULL pointer,gpt35,,85,2.5
11786.c,VULNERABLE,dereference failure: invalid pointer,codellama,13.0,74,5.0
16764.c,VULNERABLE,dereference failure: NULL pointer,gemma,7.0,56,1.5
24759.c,VULNERABLE,dereference failure: invalid pointer,gpt35,,131,20.0
33051.c,VULNERABLE,dereference failure: NULL pointer,gpt35,,96,3.333
71356.c,VULNERABLE,dereference failure: NULL pointer,gpt35,,54,2.25
38469.c,VULNERABLE,buffer overflow on scanf,gpt4o_mini,,135,3.833
17167.c,VULNERABLE,buffer overflow on scanf,gpt35,,251,5.333
38471.c,VULNERABLE,other,gemini_pro,,101,4.4
19563.c,VULNERABLE,dereference failure: NULL pointer,gemma,7.0,64,2.0
27725.c,VULNERABLE,dereference failure: NULL pointer,falcon,180.0,70,1.6
72188.c,VULNERABLE,dereference failure: NULL pointer,gpt35,,160,3.857
8385.c,VULNERABLE,buffer overflow on scanf,falcon,180.0,64,4.0
71989.c,VULNERABLE,dereference failure: NULL pointer,falcon,180.0,87,1.625
10594.c,UNKNOWN (time out),,gpt35,,122,7.571
61017.c,VULNERABLE,buffer overflow on scanf,falcon,180.0,70,15.0
21086.c,VULNERABLE,buffer overflow on scanf,gemini_pro,,95,1.5710000000000002
63568.c,VULNERABLE,arithmetic overflow on floating-point ieee_add,gpt35,,66,1.0
77414.c,VULNERABLE,buffer overflow on scanf,gpt35,,94,3.0
7263.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,74,3.0
19218.c,VULNERABLE,array bounds violated: upper bound,gpt4o_mini,,78,3.333
3690.c,VULNERABLE,buffer overflow on scanf,codellama,13.0,161,3.125
17764.c,VULNERABLE,dereference failure: invalid pointer,falcon,180.0,101,2.5
34715.c,VULNERABLE,dereference failure: NULL pointer,gpt4o_mini,,275,4.727
12509.c,VULNERABLE,array bounds violated: lower bound,falcon,180.0,98,3.0
7951.c,VULNERABLE,buffer overflow on scanf,falcon,180.0,79,2.6
39604.c,VULNERABLE,arithmetic overflow on mul,gemini_pro,,103,4.0
2130.c,VULNERABLE,dereference failure: NULL pointer,gemma,7.0,63,3.0
32109.c,UNKNOWN (time out),,gemini_pro,,66,2.667
11331.c,VULNERABLE,buffer overflow on scanf,gpt35,,57,5.0
32319.c,UNKNOWN (time out),,gemini_pro,,89,21.0
16292.c,VULNERABLE,dereference failure: NULL pointer,gemma,7.0,63,2.5
14253.c,UNKNOWN (time out),,gemini_pro,,124,2.714
32638.c,VULNERABLE,dereference failure: NULL pointer,gpt35,,100,15.0
3759.c,VULNERABLE,buffer overflow on scanf,llama2,13.0,80,4.0
16325.c,VULNERABLE,arithmetic overflow on add,llama2,13.0,75,2.0
30059.c,VULNERABLE,dereference failure: NULL pointer,gemma,7.0,52,1.5
52383.c,VULNERABLE,dereference failure: NULL pointer,gpt35,,126,3.5
71367.c,UNKNOWN (time out),,gpt35,,94,2.5
11003.c,VULNERABLE,dereference failure: NULL pointer,llama2,13.0,60,1.4
67433.c,UNKNOWN (time out),,gpt35,,58,3.0
11527.c,VULNERABLE,arithmetic overflow on mul,gemma,7.0,62,3.0
38595.c,VULNERABLE,array bounds violated: lower bound,gpt35,,77,10.333
1550.c,VULNERABLE,dereference failure: array bounds violated,llama2,13.0,54,5.0
25588.c,VULNERABLE,buffer overflow on scanf,falcon,180.0,98,2.8
33836.c,VULNERABLE,array bounds violated: upper bound,gemma,7.0,66,2.0
40432.c,VULNERABLE,buffer overflow on scanf,gemma,7.0,88,8.5
772.c,VULNERABLE,buffer overflow on scanf,falcon,180.0,116,2.0
22783.c,VULNERABLE,dereference failure: invalid pointer,gpt35,,143,6.667
28.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,172,3.5
34490.c,VULNERABLE,dereference failure: NULL pointer,gpt4o_mini,,177,2.833
3281.c,VULNERABLE,dereference failure: invalid pointer,mistral,7.0,96,3.667
58387.c,VULNERABLE,buffer overflow on scanf,gpt35,,76,3.333
64468.c,VULNERABLE,array bounds violated: upper bound,falcon,180.0,103,13.0
124.c,VULNERABLE,dereference failure: invalid pointer,gemini_pro,,74,3.667
30249.c,VULNERABLE,dereference failure: NULL pointer,gemma,7.0,56,1.667
7762.c,VULNERABLE,arithmetic overflow on mul,codellama,13.0,102,2.6
12802.c,VULNERABLE,dereference failure: NULL pointer,llama2,13.0,60,5.0
16614.c,VULNERABLE,buffer overflow on scanf,falcon,180.0,104,3.75
16017.c,VULNERABLE,arithmetic overflow on add,gemma,7.0,87,15.0
33228.c,VULNERABLE,arithmetic overflow on sub,gpt35,,59,5.0
